Index,Difficulty Level,Words,Definition,Group,Pronounciation,Meaning,,,,,,,,,,,,,,,,,,,,
31,ONE,fair,http://dictionary.cambridge.org/dictionary/english/fair,,fair,,,,,,,,,,,,,,,,,,,,,
32,ONE,nibble,http://dictionary.cambridge.org/dictionary/english/nibble,,nibble,,,,,,,,,,,,,,,,,,,,,
33,ONE,sweat,http://dictionary.cambridge.org/dictionary/english/sweat,,sweat,,,,,,,,,,,,,,,,,,,,,
34,ONE,entire,http://dictionary.cambridge.org/dictionary/english/entire,,entire,,,,,,,,,,,,,,,,,,,,,
35,ONE,worse,http://dictionary.cambridge.org/dictionary/english/worse,,worse,,,,,,,,,,,,,,,,,,,,,
36,ONE,dome,http://dictionary.cambridge.org/dictionary/english/dome,,dome,,,,,,,,,,,,,,,,,,,,,
37,ONE,dinner,http://dictionary.cambridge.org/dictionary/english/dinner,,dinner,,,,,,,,,,,,,,,,,,,,,
38,ONE,strands,http://dictionary.cambridge.org/dictionary/english/strands,,strands,,,,,,,,,,,,,,,,,,,,,
39,ONE,cost,http://dictionary.cambridge.org/dictionary/english/cost,,cost,,,,,,,,,,,,,,,,,,,,,
40,ONE,December,http://dictionary.cambridge.org/dictionary/english/December,,December,,,,,,,,,,,,,,,,,,,,,
41,ONE,sandwich,http://dictionary.cambridge.org/dictionary/english/sandwich,,sandwich,,,,,,,,,,,,,,,,,,,,,
42,ONE,tall,http://dictionary.cambridge.org/dictionary/english/tall,,tall,,,,,,,,,,,,,,,,,,,,,
43,ONE,rats,http://dictionary.cambridge.org/dictionary/english/rats,,rats,,,,,,,,,,,,,,,,,,,,,
44,ONE,chapter,http://dictionary.cambridge.org/dictionary/english/chapter,,chapter,,,,,,,,,,,,,,,,,,,,,
45,ONE,sleek,http://dictionary.cambridge.org/dictionary/english/sleek,,sleek,,,,,,,,,,,,,,,,,,,,,
46,ONE,sudden,http://dictionary.cambridge.org/dictionary/english/sudden,,sudden,,,,,,,,,,,,,,,,,,,,,
47,ONE,duo,http://dictionary.cambridge.org/dictionary/english/duo,,duo,,,,,,,,,,,,,,,,,,,,,
48,ONE,better,http://dictionary.cambridge.org/dictionary/english/better,,better,,,,,,,,,,,,,,,,,,,,,
49,ONE,fed,http://dictionary.cambridge.org/dictionary/english/fed,,fed,,,,,,,,,,,,,,,,,,,,,
50,ONE,chess,http://dictionary.cambridge.org/dictionary/english/chess,,chess,,,,,,,,,,,,,,,,,,,,,
51,ONE,bottle,http://dictionary.cambridge.org/dictionary/english/bottle,,bottle,,,,,,,,,,,,,,,,,,,,,
52,ONE,slither,http://dictionary.cambridge.org/dictionary/english/slither,,slither,,,,,,,,,,,,,,,,,,,,,
53,ONE,gleaming,http://dictionary.cambridge.org/dictionary/english/gleaming,,gleaming,,,,,,,,,,,,,,,,,,,,,
54,ONE,hit,http://dictionary.cambridge.org/dictionary/english/hit,,hit,,,,,,,,,,,,,,,,,,,,,
55,ONE,sir,http://dictionary.cambridge.org/dictionary/english/sir,,sir,,,,,,,,,,,,,,,,,,,,,
56,ONE,slimy,http://dictionary.cambridge.org/dictionary/english/slimy,,slimy,,,,,,,,,,,,,,,,,,,,,
57,ONE,smart,http://dictionary.cambridge.org/dictionary/english/smart,,smart,,,,,,,,,,,,,,,,,,,,,
58,ONE,combed,http://dictionary.cambridge.org/dictionary/english/combed,,combed,,,,,,,,,,,,,,,,,,,,,
59,ONE,repress,http://dictionary.cambridge.org/dictionary/english/repress,,repress,,,,,,,,,,,,,,,,,,,,,
60,ONE,peanut,http://dictionary.cambridge.org/dictionary/english/peanut,,peanut,,,,,,,,,,,,,,,,,,,,,
61,ONE,boom,http://dictionary.cambridge.org/dictionary/english/boom,,boom,,,,,,,,,,,,,,,,,,,,,
62,ONE,squeak,http://dictionary.cambridge.org/dictionary/english/squeak,,squeak,,,,,,,,,,,,,,,,,,,,,
63,ONE,stared,http://dictionary.cambridge.org/dictionary/english/stared,,stared,,,,,,,,,,,,,,,,,,,,,
64,ONE,patrol,http://dictionary.cambridge.org/dictionary/english/patrol,,patrol,,,,,,,,,,,,,,,,,,,,,
65,ONE,clothes,http://dictionary.cambridge.org/dictionary/english/clothes,,clothes,,,,,,,,,,,,,,,,,,,,,
66,ONE,cake,http://dictionary.cambridge.org/dictionary/english/cake,,cake,,,,,,,,,,,,,,,,,,,,,
67,ONE,wave,http://dictionary.cambridge.org/dictionary/english/wave,,wave,,,,,,,,,,,,,,,,,,,,,
68,ONE,friend,http://dictionary.cambridge.org/dictionary/english/friend,,friend,,,,,,,,,,,,,,,,,,,,,
69,ONE,plopped,http://dictionary.cambridge.org/dictionary/english/plopped,,plopped,,,,,,,,,,,,,,,,,,,,,
70,ONE,epic,http://dictionary.cambridge.org/dictionary/english/epic,,epic,,,,,,,,,,,,,,,,,,,,,
71,ONE,either,http://dictionary.cambridge.org/dictionary/english/either,,either,,,,,,,,,,,,,,,,,,,,,
72,ONE,bite,http://dictionary.cambridge.org/dictionary/english/bite,,bite,,,,,,,,,,,,,,,,,,,,,
73,ONE,trunk,http://dictionary.cambridge.org/dictionary/english/trunk,,trunk,,,,,,,,,,,,,,,,,,,,,
74,ONE,laptop,http://dictionary.cambridge.org/dictionary/english/laptop,,laptop,,,,,,,,,,,,,,,,,,,,,
75,ONE,darted,http://dictionary.cambridge.org/dictionary/english/darted,,darted,,,,,,,,,,,,,,,,,,,,,
76,ONE,vital,http://dictionary.cambridge.org/dictionary/english/vital,,vital,,,,,,,,,,,,,,,,,,,,,
77,ONE,rely,http://dictionary.cambridge.org/dictionary/english/rely,,rely,,,,,,,,,,,,,,,,,,,,,
78,ONE,noon,http://dictionary.cambridge.org/dictionary/english/noon,,noon,,,,,,,,,,,,,,,,,,,,,
79,ONE,sleepy,http://dictionary.cambridge.org/dictionary/english/sleepy,,sleepy,,,,,,,,,,,,,,,,,,,,,
80,ONE,movie,http://dictionary.cambridge.org/dictionary/english/movie,,movie,,,,,,,,,,,,,,,,,,,,,
81,ONE,angry,http://dictionary.cambridge.org/dictionary/english/angry,,angry,,,,,,,,,,,,,,,,,,,,,
82,ONE,window,http://dictionary.cambridge.org/dictionary/english/window,,window,,,,,,,,,,,,,,,,,,,,,
83,ONE,chose,http://dictionary.cambridge.org/dictionary/english/chose,,chose,,,,,,,,,,,,,,,,,,,,,
84,ONE,gummy,http://dictionary.cambridge.org/dictionary/english/gummy,,gummy,,,,,,,,,,,,,,,,,,,,,
85,ONE,full,http://dictionary.cambridge.org/dictionary/english/full,,full,,,,,,,,,,,,,,,,,,,,,
86,ONE,known,http://dictionary.cambridge.org/dictionary/english/known,,known,,,,,,,,,,,,,,,,,,,,,
87,ONE,sidekick,http://dictionary.cambridge.org/dictionary/english/sidekick,,sidekick,,,,,,,,,,,,,,,,,,,,,
88,ONE,pocket,http://dictionary.cambridge.org/dictionary/english/pocket,,pocket,,,,,,,,,,,,,,,,,,,,,
89,ONE,belle,http://dictionary.cambridge.org/dictionary/english/belle,,belle,,,,,,,,,,,,,,,,,,,,,
90,ONE,sting,http://dictionary.cambridge.org/dictionary/english/sting,,sting,,,,,,,,,,,,,,,,,,,,,
91,ONE,huge,http://dictionary.cambridge.org/dictionary/english/huge,,huge,,,,,,,,,,,,,,,,,,,,,
92,ONE,suffer,http://dictionary.cambridge.org/dictionary/english/suffer,,suffer,,,,,,,,,,,,,,,,,,,,,
93,ONE,stuff,http://dictionary.cambridge.org/dictionary/english/stuff,,stuff,,,,,,,,,,,,,,,,,,,,,
94,ONE,project,http://dictionary.cambridge.org/dictionary/english/project,,project,,,,,,,,,,,,,,,,,,,,,
95,ONE,else,http://dictionary.cambridge.org/dictionary/english/else,,else,,,,,,,,,,,,,,,,,,,,,
96,ONE,ray,http://dictionary.cambridge.org/dictionary/english/ray,,ray,,,,,,,,,,,,,,,,,,,,,
97,ONE,born,http://dictionary.cambridge.org/dictionary/english/born,,born,,,,,,,,,,,,,,,,,,,,,
98,ONE,double,http://dictionary.cambridge.org/dictionary/english/double,,double,,,,,,,,,,,,,,,,,,,,,
99,ONE,least,http://dictionary.cambridge.org/dictionary/english/least,,least,,,,,,,,,,,,,,,,,,,,,
100,ONE,goofy,http://dictionary.cambridge.org/dictionary/english/goofy,,goofy,,,,,,,,,,,,,,,,,,,,,
101,ONE,picture,http://dictionary.cambridge.org/dictionary/english/picture,,picture,,,,,,,,,,,,,,,,,,,,,
102,ONE,dusk,http://dictionary.cambridge.org/dictionary/english/dusk,,dusk,,,,,,,,,,,,,,,,,,,,,
103,ONE,jumping,http://dictionary.cambridge.org/dictionary/english/jumping,,jumping,,,,,,,,,,,,,,,,,,,,,
104,ONE,watch,http://dictionary.cambridge.org/dictionary/english/watch,,watch,,,,,,,,,,,,,,,,,,,,,
105,ONE,little,http://dictionary.cambridge.org/dictionary/english/little,,little,,,,,,,,,,,,,,,,,,,,,
106,ONE,remember,http://dictionary.cambridge.org/dictionary/english/remember,,remember,,,,,,,,,,,,,,,,,,,,,
107,ONE,prepare,http://dictionary.cambridge.org/dictionary/english/prepare,,prepare,,,,,,,,,,,,,,,,,,,,,
108,ONE,mops,http://dictionary.cambridge.org/dictionary/english/mops,,mops,,,,,,,,,,,,,,,,,,,,,
109,ONE,damp,http://dictionary.cambridge.org/dictionary/english/damp,,damp,,,,,,,,,,,,,,,,,,,,,
110,ONE,ahoy,http://dictionary.cambridge.org/dictionary/english/ahoy,,ahoy,,,,,,,,,,,,,,,,,,,,,
111,ONE,felt,http://dictionary.cambridge.org/dictionary/english/felt,,felt,,,,,,,,,,,,,,,,,,,,,
112,ONE,travel,http://dictionary.cambridge.org/dictionary/english/travel,,travel,,,,,,,,,,,,,,,,,,,,,
113,ONE,percent,http://dictionary.cambridge.org/dictionary/english/percent,,percent,,,,,,,,,,,,,,,,,,,,,
114,ONE,thanks,http://dictionary.cambridge.org/dictionary/english/thanks,,thanks,,,,,,,,,,,,,,,,,,,,,
115,ONE,from,http://dictionary.cambridge.org/dictionary/english/from,,from,,,,,,,,,,,,,,,,,,,,,
116,ONE,dream,http://dictionary.cambridge.org/dictionary/english/dream,,dream,,,,,,,,,,,,,,,,,,,,,
117,ONE,summer,http://dictionary.cambridge.org/dictionary/english/summer,,summer,,,,,,,,,,,,,,,,,,,,,
118,ONE,cranky,http://dictionary.cambridge.org/dictionary/english/cranky,,cranky,,,,,,,,,,,,,,,,,,,,,
119,ONE,afraid,http://dictionary.cambridge.org/dictionary/english/afraid,,afraid,,,,,,,,,,,,,,,,,,,,,
120,ONE,dash,http://dictionary.cambridge.org/dictionary/english/dash,,dash,,,,,,,,,,,,,,,,,,,,,
121,ONE,hunch,http://dictionary.cambridge.org/dictionary/english/hunch,,hunch,,,,,,,,,,,,,,,,,,,,,
122,ONE,whine,http://dictionary.cambridge.org/dictionary/english/whine,,whine,,,,,,,,,,,,,,,,,,,,,
123,ONE,carefully,http://dictionary.cambridge.org/dictionary/english/carefully,,carefully,,,,,,,,,,,,,,,,,,,,,
124,ONE,career,http://dictionary.cambridge.org/dictionary/english/career,,career,,,,,,,,,,,,,,,,,,,,,
125,ONE,rescue,http://dictionary.cambridge.org/dictionary/english/rescue,,rescue,,,,,,,,,,,,,,,,,,,,,
126,ONE,skin,http://dictionary.cambridge.org/dictionary/english/skin,,skin,,,,,,,,,,,,,,,,,,,,,
127,ONE,each,http://dictionary.cambridge.org/dictionary/english/each,,each,,,,,,,,,,,,,,,,,,,,,
128,ONE,beans,http://dictionary.cambridge.org/dictionary/english/beans,,beans,,,,,,,,,,,,,,,,,,,,,
129,ONE,would,http://dictionary.cambridge.org/dictionary/english/would,,would,,,,,,,,,,,,,,,,,,,,,
130,ONE,disease,http://dictionary.cambridge.org/dictionary/english/disease,,disease,,,,,,,,,,,,,,,,,,,,,
132,ONE,star,http://dictionary.cambridge.org/dictionary/english/star,,star,,,,,,,,,,,,,,,,,,,,,
133,ONE,shade,http://dictionary.cambridge.org/dictionary/english/shade,,shade,,,,,,,,,,,,,,,,,,,,,
134,ONE,child,http://dictionary.cambridge.org/dictionary/english/child,,child,,,,,,,,,,,,,,,,,,,,,
135,ONE,shambles,http://dictionary.cambridge.org/dictionary/english/shambles,,shambles,,,,,,,,,,,,,,,,,,,,,
136,ONE,trophy,http://dictionary.cambridge.org/dictionary/english/trophy,,trophy,,,,,,,,,,,,,,,,,,,,,
138,ONE,began,http://dictionary.cambridge.org/dictionary/english/began,,began,,,,,,,,,,,,,,,,,,,,,
139,ONE,ribs,http://dictionary.cambridge.org/dictionary/english/ribs,,ribs,,,,,,,,,,,,,,,,,,,,,
140,ONE,space,http://dictionary.cambridge.org/dictionary/english/space,,space,,,,,,,,,,,,,,,,,,,,,
141,ONE,taillight,http://dictionary.cambridge.org/dictionary/english/taillight,,taillight,,,,,,,,,,,,,,,,,,,,,
142,ONE,theater,http://dictionary.cambridge.org/dictionary/english/theater,,theater,,,,,,,,,,,,,,,,,,,,,
144,ONE,grew,http://dictionary.cambridge.org/dictionary/english/grew,,grew,,,,,,,,,,,,,,,,,,,,,
145,ONE,forever,http://dictionary.cambridge.org/dictionary/english/forever,,forever,,,,,,,,,,,,,,,,,,,,,
146,ONE,princess,http://dictionary.cambridge.org/dictionary/english/princess,,princess,,,,,,,,,,,,,,,,,,,,,
147,ONE,quicken,http://dictionary.cambridge.org/dictionary/english/quicken,,quicken,,,,,,,,,,,,,,,,,,,,,
148,ONE,theatre,http://dictionary.cambridge.org/dictionary/english/theatre,,theatre,,,,,,,,,,,,,,,,,,,,,
150,ONE,fine,http://dictionary.cambridge.org/dictionary/english/fine,,fine,,,,,,,,,,,,,,,,,,,,,
151,ONE,freeze,http://dictionary.cambridge.org/dictionary/english/freeze,,freeze,,,,,,,,,,,,,,,,,,,,,
152,ONE,piper,http://dictionary.cambridge.org/dictionary/english/piper,,piper,,,,,,,,,,,,,,,,,,,,,
153,ONE,presence,http://dictionary.cambridge.org/dictionary/english/presence,,presence,,,,,,,,,,,,,,,,,,,,,
154,ONE,athlete,http://dictionary.cambridge.org/dictionary/english/athlete,,athlete,,,,,,,,,,,,,,,,,,,,,
156,ONE,gradual,http://dictionary.cambridge.org/dictionary/english/gradual,,gradual,,,,,,,,,,,,,,,,,,,,,
157,ONE,bedlam,http://dictionary.cambridge.org/dictionary/english/bedlam,,bedlam,,,,,,,,,,,,,,,,,,,,,
158,ONE,gargantuan,http://dictionary.cambridge.org/dictionary/english/gargantuan,,gargantuan,,,,,,,,,,,,,,,,,,,,,
159,ONE,gimmick,http://dictionary.cambridge.org/dictionary/english/gimmick,,gimmick,,,,,,,,,,,,,,,,,,,,,
160,ONE,monopolize,http://dictionary.cambridge.org/dictionary/english/monopolize,,monopolize,,,,,,,,,,,,,,,,,,,,,
161,ONE,target,http://dictionary.cambridge.org/dictionary/english/target,,target,,,,,,,,,,,,,,,,,,,,,
162,ONE,ferocious,http://dictionary.cambridge.org/dictionary/english/ferocious,,ferocious,,,,,,,,,,,,,,,,,,,,,
163,ONE,shortfall,http://dictionary.cambridge.org/dictionary/english/shortfall,,shortfall,,,,,,,,,,,,,,,,,,,,,
164,ONE,salsa,http://dictionary.cambridge.org/dictionary/english/salsa,,salsa,,,,,,,,,,,,,,,,,,,,,
165,ONE,flannel,http://dictionary.cambridge.org/dictionary/english/flannel,,flannel,,,,,,,,,,,,,,,,,,,,,
166,ONE,water,http://dictionary.cambridge.org/dictionary/english/water,,water,,,,,,,,,,,,,,,,,,,,,
167,ONE,angora,http://dictionary.cambridge.org/dictionary/english/angora,,angora,,,,,,,,,,,,,,,,,,,,,
168,ONE,frequently,http://dictionary.cambridge.org/dictionary/english/frequently,,frequently,,,,,,,,,,,,,,,,,,,,,
169,ONE,cowlick,http://dictionary.cambridge.org/dictionary/english/cowlick,,cowlick,,,,,,,,,,,,,,,,,,,,,
170,ONE,chaotic,http://dictionary.cambridge.org/dictionary/english/chaotic,,chaotic,,,,,,,,,,,,,,,,,,,,,
171,ONE,cucumber,http://dictionary.cambridge.org/dictionary/english/cucumber,,cucumber,,,,,,,,,,,,,,,,,,,,,
172,ONE,marathon,http://dictionary.cambridge.org/dictionary/english/marathon,,marathon,,,,,,,,,,,,,,,,,,,,,
173,ONE,snippet,http://dictionary.cambridge.org/dictionary/english/snippet,,snippet,,,,,,,,,,,,,,,,,,,,,
174,ONE,permission,http://dictionary.cambridge.org/dictionary/english/permission,,permission,,,,,,,,,,,,,,,,,,,,,
175,ONE,opinionated,http://dictionary.cambridge.org/dictionary/english/opinionated,,opinionated,,,,,,,,,,,,,,,,,,,,,
176,ONE,shrimp,http://dictionary.cambridge.org/dictionary/english/shrimp,,shrimp,,,,,,,,,,,,,,,,,,,,,
177,ONE,McMansion,http://dictionary.cambridge.org/dictionary/english/McMansion,,McMansion,,,,,,,,,,,,,,,,,,,,,
178,ONE,omission,http://dictionary.cambridge.org/dictionary/english/omission,,omission,,,,,,,,,,,,,,,,,,,,,
179,ONE,ascribe,http://dictionary.cambridge.org/dictionary/english/ascribe,,ascribe,,,,,,,,,,,,,,,,,,,,,
180,ONE,towel,http://dictionary.cambridge.org/dictionary/english/towel,,towel,,,,,,,,,,,,,,,,,,,,,
181,ONE,slogan,http://dictionary.cambridge.org/dictionary/english/slogan,,slogan,,,,,,,,,,,,,,,,,,,,,
182,ONE,mandate,http://dictionary.cambridge.org/dictionary/english/mandate,,mandate,,,,,,,,,,,,,,,,,,,,,
183,ONE,janitor,http://dictionary.cambridge.org/dictionary/english/janitor,,janitor,,,,,,,,,,,,,,,,,,,,,
184,ONE,newbie,http://dictionary.cambridge.org/dictionary/english/newbie,,newbie,,,,,,,,,,,,,,,,,,,,,
185,ONE,hodgepodge,http://dictionary.cambridge.org/dictionary/english/hodgepodge,,hodgepodge,,,,,,,,,,,,,,,,,,,,,
186,ONE,sundae,http://dictionary.cambridge.org/dictionary/english/sundae,,sundae,,,,,,,,,,,,,,,,,,,,,
187,ONE,triumphant,http://dictionary.cambridge.org/dictionary/english/triumphant,,triumphant,,,,,,,,,,,,,,,,,,,,,
188,ONE,turret,http://dictionary.cambridge.org/dictionary/english/turret,,turret,,,,,,,,,,,,,,,,,,,,,
189,ONE,lionize,http://dictionary.cambridge.org/dictionary/english/lionize,,lionize,,,,,,,,,,,,,,,,,,,,,
190,ONE,spreadsheet,http://dictionary.cambridge.org/dictionary/english/spreadsheet,,spreadsheet,,,,,,,,,,,,,,,,,,,,,
191,ONE,verbiage,http://dictionary.cambridge.org/dictionary/english/verbiage,,verbiage,,,,,,,,,,,,,,,,,,,,,
192,ONE,ornament,http://dictionary.cambridge.org/dictionary/english/ornament,,ornament,,,,,,,,,,,,,,,,,,,,,
193,ONE,parenthetic,http://dictionary.cambridge.org/dictionary/english/parenthetic,,parenthetic,,,,,,,,,,,,,,,,,,,,,
194,ONE,pigeon,http://dictionary.cambridge.org/dictionary/english/pigeon,,pigeon,,,,,,,,,,,,,,,,,,,,,
195,ONE,headdress,http://dictionary.cambridge.org/dictionary/english/headdress,,headdress,,,,,,,,,,,,,,,,,,,,,
196,ONE,badger,http://dictionary.cambridge.org/dictionary/english/badger,,badger,,,,,,,,,,,,,,,,,,,,,
197,ONE,nephew,http://dictionary.cambridge.org/dictionary/english/nephew,,nephew,,,,,,,,,,,,,,,,,,,,,
198,ONE,rooster,http://dictionary.cambridge.org/dictionary/english/rooster,,rooster,,,,,,,,,,,,,,,,,,,,,
199,ONE,listener,http://dictionary.cambridge.org/dictionary/english/listener,,listener,,,,,,,,,,,,,,,,,,,,,
200,ONE,satellite,http://dictionary.cambridge.org/dictionary/english/satellite,,satellite,,,,,,,,,,,,,,,,,,,,,
201,ONE,ludicrous,http://dictionary.cambridge.org/dictionary/english/ludicrous,,ludicrous,,,,,,,,,,,,,,,,,,,,,
202,ONE,fortification,http://dictionary.cambridge.org/dictionary/english/fortification,,fortification,,,,,,,,,,,,,,,,,,,,,
203,ONE,imbibe,http://dictionary.cambridge.org/dictionary/english/imbibe,,imbibe,,,,,,,,,,,,,,,,,,,,,
204,ONE,scold,http://dictionary.cambridge.org/dictionary/english/scold,,scold,,,,,,,,,,,,,,,,,,,,,
205,ONE,guardian,http://dictionary.cambridge.org/dictionary/english/guardian,,guardian,,,,,,,,,,,,,,,,,,,,,
206,ONE,parasite,http://dictionary.cambridge.org/dictionary/english/parasite,,parasite,,,,,,,,,,,,,,,,,,,,,
207,ONE,pear,http://dictionary.cambridge.org/dictionary/english/pear,,pear,,,,,,,,,,,,,,,,,,,,,
208,ONE,hydra,http://dictionary.cambridge.org/dictionary/english/hydra,,hydra,,,,,,,,,,,,,,,,,,,,,
209,ONE,savvy,http://dictionary.cambridge.org/dictionary/english/savvy,,savvy,,,,,,,,,,,,,,,,,,,,,
210,ONE,organza,http://dictionary.cambridge.org/dictionary/english/organza,,organza,,,,,,,,,,,,,,,,,,,,,
211,ONE,dwindled,http://dictionary.cambridge.org/dictionary/english/dwindled,,dwindled,,,,,,,,,,,,,,,,,,,,,
212,ONE,favorite,http://dictionary.cambridge.org/dictionary/english/favorite,,favorite,,,,,,,,,,,,,,,,,,,,,
213,ONE,system,http://dictionary.cambridge.org/dictionary/english/system,,system,,,,,,,,,,,,,,,,,,,,,
214,ONE,grouse,http://dictionary.cambridge.org/dictionary/english/grouse,,grouse,,,,,,,,,,,,,,,,,,,,,
215,ONE,reckon,http://dictionary.cambridge.org/dictionary/english/reckon,,reckon,,,,,,,,,,,,,,,,,,,,,
216,ONE,fragile,http://dictionary.cambridge.org/dictionary/english/fragile,,fragile,,,,,,,,,,,,,,,,,,,,,
217,ONE,fraught,http://dictionary.cambridge.org/dictionary/english/fraught,,fraught,,,,,,,,,,,,,,,,,,,,,
218,ONE,favourite,http://dictionary.cambridge.org/dictionary/english/favourite,,favourite,,,,,,,,,,,,,,,,,,,,,
219,ONE,pedigree,http://dictionary.cambridge.org/dictionary/english/pedigree,,pedigree,,,,,,,,,,,,,,,,,,,,,
220,ONE,manta,http://dictionary.cambridge.org/dictionary/english/manta,,manta,,,,,,,,,,,,,,,,,,,,,
221,ONE,boorish,http://dictionary.cambridge.org/dictionary/english/boorish,,boorish,,,,,,,,,,,,,,,,,,,,,
222,ONE,galaxy,http://dictionary.cambridge.org/dictionary/english/galaxy,,galaxy,,,,,,,,,,,,,,,,,,,,,
223,ONE,sturdy,http://dictionary.cambridge.org/dictionary/english/sturdy,,sturdy,,,,,,,,,,,,,,,,,,,,,
224,ONE,cascade,http://dictionary.cambridge.org/dictionary/english/cascade,,cascade,,,,,,,,,,,,,,,,,,,,,
225,ONE,empty,http://dictionary.cambridge.org/dictionary/english/empty,,empty,,,,,,,,,,,,,,,,,,,,,
226,ONE,astonish,http://dictionary.cambridge.org/dictionary/english/astonish,,astonish,,,,,,,,,,,,,,,,,,,,,
227,ONE,tarmac,http://dictionary.cambridge.org/dictionary/english/tarmac,,tarmac,,,,,,,,,,,,,,,,,,,,,
228,ONE,complaint,http://dictionary.cambridge.org/dictionary/english/complaint,,complaint,,,,,,,,,,,,,,,,,,,,,
229,ONE,treadmill,http://dictionary.cambridge.org/dictionary/english/treadmill,,treadmill,,,,,,,,,,,,,,,,,,,,,
230,ONE,dandelion,http://dictionary.cambridge.org/dictionary/english/dandelion,,dandelion,,,,,,,,,,,,,,,,,,,,,
231,ONE,amulet,http://dictionary.cambridge.org/dictionary/english/amulet,,amulet,,,,,,,,,,,,,,,,,,,,,
232,ONE,fashionista,http://dictionary.cambridge.org/dictionary/english/fashionista,,fashionista,,,,,,,,,,,,,,,,,,,,,
233,ONE,iteration,http://dictionary.cambridge.org/dictionary/english/iteration,,iteration,,,,,,,,,,,,,,,,,,,,,
234,ONE,curries,http://dictionary.cambridge.org/dictionary/english/curries,,curries,,,,,,,,,,,,,,,,,,,,,
235,ONE,originate,http://dictionary.cambridge.org/dictionary/english/originate,,originate,,,,,,,,,,,,,,,,,,,,,
