Index,Difficulty Level,Words,Description,WOC_2021,SOW_2021,WOC_2020,SOW_2020
52,ONE,slither,to pass or move unobtrusively or smoothly,1,1,0,0
53,ONE,gleaming,a flash of light (especially reflected light),1,1,0,0
54,ONE,hit,(baseball) a successful stroke in an athletic contest (especially in baseball),1,1,0,0
55,ONE,sir,term of address for a man,1,1,0,0
56,ONE,slimy,covered with or resembling slime,1,1,0,0
57,ONE,smart,a kind of pain such as that caused by a wound or a burn or a sore,1,1,0,0
58,ONE,combed,straighten with a comb,1,1,0,0
59,ONE,repress,put down by force or intimidation,1,1,0,0
60,ONE,peanut,underground pod of the peanut vine,1,1,0,0
61,ONE,boom,a deep prolonged loud noise,1,1,0,0
62,ONE,squeak,a short high-pitched noise,1,1,0,0
63,ONE,stared,look at with fixed eyes,1,1,0,0
64,ONE,patrol,a detachment used for security or reconnaissance,1,1,0,0
65,ONE,clothes,clothing in general,1,1,0,0
66,ONE,cake,a block of solid substance (such as soap or wax),1,1,0,0
67,ONE,wave,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),1,1,0,0
68,ONE,friend,a person you know well and regard with affection and trust,1,1,0,0
69,ONE,plopped,drop something with a plopping sound,1,1,0,0
70,ONE,epic,a long narrative poem telling of a hero's deeds,1,1,0,0
71,ONE,either,after a negative statement used as an intensive meaning something like `likewise' or `also',1,1,0,0
72,ONE,bite,a wound resulting from biting by an animal or a person,1,1,0,0
73,ONE,trunk,the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber,1,1,0,0
74,ONE,laptop,a portable computer small enough to use in your lap,1,1,0,0
75,ONE,darted,move along rapidly and lightly; skim or dart,1,1,0,0
76,ONE,vital,urgently needed; absolutely necessary,1,1,0,0
77,ONE,rely,have confidence or faith in,1,1,0,0
78,ONE,noon,the middle of the day,1,1,0,0
79,ONE,sleepy,ready to fall asleep,1,1,0,0
80,ONE,movie,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,1,1,0,0
81,ONE,angry,feeling or showing anger,1,1,0,0
82,ONE,window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,1,1,0,0
83,TWO,window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,1,1,0,0
84,ONE,chose,"pick out, select, or choose from a number of alternatives",1,1,0,0
85,ONE,gummy,having the sticky properties of an adhesive,1,1,0,0
86,ONE,full,the time when the Moon is fully illuminated,1,1,0,0
87,ONE,known,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,1,1,0,0
88,ONE,sidekick,a close friend who accompanies his buddies in their activities,1,1,0,0
89,ONE,pocket,a small pouch inside a garment for carrying small articles,1,1,0,0
90,ONE,belle,a young woman who is the most charming and beautiful of several rivals,1,1,0,0
91,ONE,sting,a kind of pain; something as sudden and painful as being stung,1,1,0,0
92,ONE,huge,unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge,1,1,0,0
93,ONE,suffer,undergo or be subjected to,1,1,0,0
94,ONE,stuff,the tangible substance that goes into the makeup of a physical object,1,1,0,0
95,ONE,project,any piece of work that is undertaken or attempted,1,1,0,0
96,ONE,else,Undefined,1,1,0,0
97,ONE,ray,a column of light (as from a beacon),1,1,0,0
98,ONE,born,British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970),1,1,0,0
99,ONE,double,a base hit on which the batter stops safely at second base,1,1,0,0
100,ONE,least,something that is of no importance,1,1,0,0
101,ONE,goofy,a cartoon character created by Walt Disney,1,1,0,0
102,ONE,picture,a visual representation (of an object or scene or person or abstraction) produced on a surface,1,1,0,0
103,ONE,dusk,the time of day immediately following sunset,1,1,0,0
104,ONE,jumping,the act of participating in an athletic competition in which you must jump,1,1,0,0
105,ONE,watch,a small portable timepiece,1,1,0,0
106,ONE,little,a small amount or duration,1,1,0,0
107,ONE,remember,recall knowledge from memory; have a recollection,1,1,0,0
108,ONE,prepare,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc",1,1,0,0
109,ONE,mops,cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors,1,1,0,0
110,ONE,damp,a slight wetness,1,1,0,0
111,ONE,ahoy,Undefined,1,1,0,0
112,ONE,felt,a fabric made of compressed matted animal fibers,1,1,0,0
113,ONE,travel,the act of going from one place to another,1,1,0,0
114,ONE,percent,a proportion in relation to a whole (which is usually the amount per hundred),1,1,0,0
115,ONE,thanks,an acknowledgment of appreciation,1,1,0,0
116,ONE,from,Undefined,1,1,0,0
117,ONE,dream,a series of mental images and emotions occurring during sleep,1,1,0,0
118,ONE,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,1,1,0,0
119,ONE,cranky,(used of boats) inclined to heel over easily under sail,1,1,0,0
120,ONE,afraid,filled with fear or apprehension,1,1,0,0
121,ONE,dash,distinctive and stylish elegance,1,1,0,0
122,ONE,hunch,an impression that something might be the case,1,1,0,0
123,ONE,whine,a complaint uttered in a plaintive whining way,1,1,0,0
124,ONE,carefully,taking care or paying attention,1,1,0,0
125,ONE,career,the particular occupation for which you are trained,1,1,0,0
126,ONE,rescue,recovery or preservation from loss or danger,1,1,0,0
127,ONE,skin,a natural protective body covering and site of the sense of touch,1,1,0,0
128,ONE,each,(used of count nouns) every one considered individually,1,1,0,0
129,ONE,beans,any of various edible seeds of plants of the family Leguminosae used for food,1,1,0,0
130,ONE,would,Undefined,1,1,0,0
131,ONE,disease,an impairment of health or a condition of abnormal functioning,1,1,0,0
132,ONE,star,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior,1,1,0,0
133,ONE,shade,relative darkness caused by light rays being intercepted by an opaque body,1,1,0,0
134,ONE,child,a young person of either sex,1,1,0,0
135,ONE,shambles,a condition of great disorder,1,1,0,0
136,ONE,trophy,an award for success in war or hunting,1,1,0,0
137,ONE,began,take the first step or steps in carrying out an action,1,1,0,0
138,ONE,ribs,support resembling the rib of an animal,1,1,0,0
139,ONE,space,the unlimited expanse in which everything is located,1,1,0,0
140,ONE,taillight,lamp (usually red) mounted at the rear of a motor vehicle,1,1,0,0
141,ONE,theater,a building where theatrical performances or motion-picture shows can be presented,1,1,0,0
142,ONE,grew,"pass into a condition gradually, take on a specific property or attribute; become",1,1,0,0
143,ONE,forever,for a limitless time; ; - P.P.Bliss,1,1,0,0
144,ONE,princess,a female member of a royal family other than the queen (especially the daughter of a sovereign),1,1,0,0
145,ONE,quicken,move faster,1,1,0,0
146,ONE,theatre,a building where theatrical performances or motion-picture shows can be presented,1,1,0,0
147,ONE,fine,money extracted as a penalty,1,1,0,0
148,ONE,freeze,the withdrawal of heat to change something from a liquid to a solid,1,1,0,0
149,ONE,piper,someone who plays the bagpipe,1,1,0,0
150,ONE,presence,the state of being present; current existence,1,1,0,0
151,ONE,athlete,a person trained to compete in sports,1,1,0,0
152,ONE,gradual,(Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass,1,0,1,0
153,ONE,bedlam,a state of extreme confusion and disorder,1,0,1,0
154,ONE,gargantuan,of great mass; huge and bulky,1,0,1,0
155,ONE,gimmick,a drawback or difficulty that is not readily evident,1,0,1,0
156,ONE,monopolize,have and control fully and exclusively,1,0,1,0
157,ONE,target,a reference point to shoot at,1,0,1,0
158,ONE,ferocious,marked by extreme and violent energy,1,0,1,0
159,ONE,shortfall,the property of being an amount by which something is less than expected or required,1,0,1,0
160,ONE,salsa,spicy sauce of tomatoes and onions and chili peppers to accompany Mexican foods,1,0,1,0
161,ONE,flannel,a soft light woolen fabric; used for clothing,1,0,1,0
162,ONE,water,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent,1,0,1,0
163,ONE,angora,the capital of Turkey; located in west-central Turkey; it was formerly known as Angora and is the home of Angora goats,1,0,1,0
164,ONE,frequently,many times at short intervals,1,0,1,0
165,ONE,cowlick,a tuft of hair that grows in a different direction from the rest of the hair and usually will not lie flat,1,0,1,0
166,ONE,chaotic,lacking a visible order or organization,1,0,1,0
167,ONE,cucumber,a melon vine of the genus Cucumis; cultivated from earliest times for its cylindrical green fruit,1,0,1,0
168,ONE,marathon,any long and arduous undertaking,1,0,1,0
169,ONE,snippet,a small piece of anything (especially a piece that has been snipped off),1,0,1,0
170,ONE,permission,approval to do something,1,0,1,0
171,ONE,opinionated,obstinate in your opinions,1,0,1,0
172,ONE,shrimp,disparaging terms for small people,1,0,1,0
173,ONE,McMansion,Undefined,1,0,1,0
174,ONE,omission,a mistake resulting from neglect,1,0,1,0
175,ONE,ascribe,attribute or credit to,1,0,1,0
176,ONE,towel,a rectangular piece of absorbent cloth (or paper) for drying or wiping,1,0,1,0
177,ONE,slogan,a favorite saying of a sect or political group,1,0,1,0
178,ONE,mandate,a document giving an official instruction or command,1,0,1,0
179,ONE,janitor,someone employed to clean and maintain a building,1,0,1,0
180,ONE,newbie,any new participant in some activity,1,0,1,0
181,ONE,hodgepodge,a motley assortment of things,1,0,1,0
182,ONE,sundae,ice cream served with a topping,1,0,1,0
183,ONE,triumphant,joyful and proud especially because of triumph or success,1,0,1,0
184,ONE,turret,a small tower extending above a building,1,0,1,0
185,ONE,lionize,assign great social importance to,1,0,1,0
186,ONE,spreadsheet,a screen-oriented interactive program enabling a user to lay out financial data on the screen,1,0,1,0
187,ONE,verbiage,overabundance of words,1,0,1,0
188,ONE,ornament,something used to beautify,1,0,1,0
189,ONE,parenthetic,qualifying or explaining; placed or as if placed in parentheses,1,0,1,0
190,ONE,pigeon,wild and domesticated birds having a heavy body and short legs,1,0,1,0
191,ONE,headdress,clothing for the head,1,0,1,0
192,ONE,badger,a native or resident of Wisconsin,1,0,1,0
193,ONE,nephew,a son of your brother or sister,1,0,1,0
194,ONE,rooster,adult male chicken,1,0,1,0
195,ONE,listener,someone who listens attentively,1,0,1,0
196,ONE,satellite,man-made equipment that orbits around the earth or the moon,1,0,1,0
197,ONE,ludicrous,broadly or extravagantly humorous; resembling farce,1,0,0,0
198,ONE,fortification,defensive structure consisting of walls or mounds built around a stronghold to strengthen it,1,0,1,0
199,ONE,imbibe,"take in, also metaphorically",1,0,1,0
200,ONE,scold,someone (especially a woman) who annoys people by constantly finding fault,1,0,1,0
201,ONE,guardian,a person who cares for persons or property,1,0,1,0
202,ONE,parasite,an animal or plant that lives in or on a host (another animal or plant); it obtains nourishment from the host without benefiting or killing the host,1,0,1,0
203,ONE,pear,sweet juicy gritty-textured fruit available in many varieties,1,0,1,0
204,ONE,hydra,(Greek mythology) monster with nine heads; when struck off each head was replaced by two new ones,1,0,1,0
205,ONE,savvy,the cognitive condition of someone who understands,1,0,1,0
206,ONE,organza,a fabric made of silk or a silklike fabric that resembles organdy,1,0,1,0
207,ONE,dwindled,become smaller or lose substance,1,0,1,0
208,ONE,favorite,something regarded with special favor or liking,1,0,1,0
209,ONE,system,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,1,0,1,0
210,ONE,grouse,flesh of any of various grouse of the family Tetraonidae; usually roasted; flesh too dry to broil,1,0,1,0
211,ONE,reckon,"expect, believe, or suppose",1,0,1,0
212,ONE,fragile,easily broken or damaged or destroyed,1,0,1,0
213,ONE,fraught,marked by distress,1,0,1,0
214,ONE,favourite,a competitor thought likely to win,1,0,1,0
215,ONE,pedigree,the descendants of one individual,1,0,1,0
216,ONE,manta,a blanket that is used as a cloak or shawl,1,0,1,0
217,ONE,boorish,ill-mannered and coarse and contemptible in behavior or appearance,1,0,1,0
218,ONE,galaxy,a splendid assemblage (especially of famous people),1,0,1,0
219,ONE,sturdy,having rugged physical strength; inured to fatigue or hardships,1,0,1,0
220,ONE,cascade,a small waterfall or series of small waterfalls,1,0,1,0
221,ONE,empty,a container that has been emptied,1,0,1,0
222,ONE,astonish,affect with wonder,1,0,1,0
223,ONE,tarmac,a paving material of tar and broken stone; mixed in a factory and shaped during paving,1,0,1,0
224,ONE,complaint,an often persistent bodily disorder or disease; a cause for complaining,1,0,1,0
225,ONE,treadmill,an exercise device consisting of an endless belt on which a person can walk or jog without changing place,1,0,1,0
226,ONE,dandelion,any of several herbs of the genus Taraxacum having long tap roots and deeply notched leaves and bright yellow flowers followed by fluffy seed balls,1,0,1,0
227,ONE,amulet,a trinket or piece of jewelry usually hung about the neck and thought to be a magical protection against evil or disease,1,0,1,0
228,ONE,fashionista,Undefined,1,0,1,0
229,ONE,iteration,(computer science) a single execution of a set of instructions that are to be repeated,1,0,1,0
230,ONE,curries,(East Indian cookery) a pungent dish of vegetables or meats flavored with curry powder and usually eaten with rice,1,0,1,0
231,ONE,originate,come into existence; take on form or shape,1,0,1,0
232,ONE,famous,widely known and esteemed,1,0,1,0
233,ONE,guess,a message expressing an opinion based on incomplete evidence,1,0,1,0
234,ONE,stubble,material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds,1,0,1,0
235,ONE,nurture,the properties acquired as a consequence of the way you were treated as a child,1,0,1,0
236,ONE,tennis,a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court,1,0,1,0
237,ONE,forfend,prevent the occurrence of; prevent from happening,1,0,1,0
238,ONE,pristine,completely free from dirt or contamination,1,0,1,0
239,ONE,magician,someone who performs magic tricks to amuse an audience,1,0,1,0
240,ONE,genius,someone who has exceptional intellectual ability and originality,1,0,1,0
241,ONE,volcano,a fissure in the earth's crust (or in the surface of some other planet) through which molten lava and gases erupt,1,0,1,0
242,ONE,grumbling,a loud low dull continuous noise,1,0,1,0
243,ONE,forefend,prevent the occurrence of; prevent from happening,1,0,1,0
244,ONE,golden,having the deep slightly brownish color of gold,1,0,1,0
245,ONE,carrot,deep orange edible root of the cultivated carrot plant,1,0,1,0
246,ONE,nuance,a subtle difference in meaning or opinion or attitude,1,0,1,0
247,ONE,forensics,scientific tests or techniques used in the investigation of crimes,1,0,1,0
248,ONE,garlic,bulbous herb of southern Europe widely naturalized; bulb breaks up into separate strong-flavored cloves,1,0,1,0
249,ONE,eavesdrop,listen without the speaker's knowledge,1,0,1,0
250,ONE,modesty,freedom from vanity or conceit,1,0,1,0
251,ONE,meteor,(astronomy) any of the small solid extraterrestrial bodies that hits the earth's atmosphere,1,0,1,0
252,ONE,stencil,"a sheet of material (metal, plastic, cardboard, waxed paper, silk, etc.) that has been perforated with a pattern (printing or a design); ink or paint can pass through the perforations to create the printed pattern on the surface below",1,0,1,0
253,ONE,miraculous,being or having the character of a miracle,1,0,1,0
254,ONE,hula,a Polynesian rain dance performed by a woman,1,0,1,0
255,ONE,January,the first month of the year; begins 10 days after the winter solstice,1,0,1,0
256,ONE,amphibian,a flat-bottomed motor vehicle that can travel on land or water,1,0,1,0
257,ONE,distraught,deeply agitated especially from emotion,1,0,1,0
258,ONE,penguin,short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers,1,0,1,0
259,ONE,trendy,in accord with the latest fad,1,0,1,0
260,ONE,reactionary,an extreme conservative; an opponent of progress or liberalism,1,0,1,0
261,ONE,scruple,a unit of apothecary weight equal to 20 grains,1,0,1,0
262,ONE,jealousy,a feeling of jealous envy (especially of a rival),1,0,1,0
263,ONE,freight,goods carried by a large vehicle,1,0,1,0
264,ONE,freckle,a small brownish spot (of the pigment melanin) on the skin,1,0,1,0
265,ONE,permafrost,ground that is permanently frozen,1,0,1,0
266,ONE,muscular,of or relating to or consisting of muscle,1,0,1,0
267,ONE,moxie,fortitude and determination,1,0,1,0
268,ONE,remedial,tending or intended to rectify or improve,1,0,1,0
269,ONE,honeybee,social bee often domesticated for the honey it produces,1,0,1,0
270,ONE,blooper,an embarrassing mistake,1,0,1,0
271,ONE,iceberg,a large mass of ice floating at sea; usually broken off of a polar glacier,1,0,1,0
272,ONE,drizzle,very light rain; stronger than mist but less than a shower,1,0,1,0
273,ONE,winnow,the act of separating grain from chaff,1,0,1,0
274,ONE,vouch,give personal assurance; guarantee,1,0,1,0
275,ONE,blemish,a mark or flaw that spoils the appearance of something (especially on a person's body),1,0,1,0
276,ONE,misconception,an incorrect conception,1,0,1,0
277,ONE,cactus,any succulent plant of the family Cactaceae native chiefly to arid regions of the New World and usually having spines,1,0,1,0
278,ONE,accurate,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy,1,0,1,0
279,ONE,incentive,a positive motivational influence,1,0,1,0
280,ONE,trivia,something of small importance,1,0,1,0
281,ONE,crumpet,a thick soft cake with a porous texture; cooked on a griddle,1,0,1,0
282,ONE,lambkin,a very young lamb,1,0,1,0
283,ONE,nationalism,love of country and willingness to sacrifice for it,1,0,1,0
284,ONE,studio,workplace for the teaching or practice of an art,1,0,1,0
285,ONE,admirer,a person who backs a politician or a team etc.,1,0,1,0
286,ONE,shoulder,the part of the body between the neck and the upper arm,1,0,1,0
287,ONE,blizzard,a storm with widespread snowfall accompanied by strong winds,1,0,1,0
288,ONE,chowder,a thick soup or stew made with milk and bacon and onions and potatoes,1,0,1,0
289,ONE,leeway,(of a ship or plane) sideways drift,1,0,1,0
290,ONE,illusionist,a person with unusual powers of foresight,1,0,1,0
291,ONE,emotional,determined or actuated by emotion rather than reason,1,0,1,0
292,ONE,zebra,any of several fleet black-and-white striped African equines,1,0,1,0
293,ONE,squirm,the act of wiggling,1,0,1,0
294,ONE,sunflower,any plant of the genus Helianthus having large flower heads with dark disk florets and showy yellow rays,1,0,1,0
295,ONE,pilferer,a thief who steals without using violence,1,0,1,0
296,ONE,genetic,occurring among members of a family usually by heredity,1,0,1,0
297,ONE,chia,Undefined,1,0,1,0
298,ONE,butterscotch,a hard brittle candy made with butter and brown sugar,1,0,1,0
299,ONE,harmonious,musically pleasing,1,0,1,0
300,ONE,lambasted,beat with a cane,1,0,1,0
301,ONE,rollicking,play boisterously,1,0,1,0
302,ONE,levity,feeling an inappropriate lack of seriousness,1,0,1,0
303,ONE,raspberry,woody brambles bearing usually red but sometimes black or yellow fruits that separate from the receptacle when ripe and are rounder and smaller than blackberries,1,0,1,0
304,ONE,apron,a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing,1,0,1,0
305,ONE,lawyer,a professional person authorized to practice law; conducts lawsuits or gives legal advice,1,0,1,0
306,ONE,volumetric,of or relating to measurement by volume,1,0,1,0
307,ONE,quart,a United States liquid unit equal to 32 fluid ounces; four quarts equal one gallon,1,0,1,0
308,ONE,moisture,wetness caused by water,1,0,1,0
309,ONE,bogus,fraudulent; having a misleading appearance,1,0,1,0
310,ONE,beagle,a small short-legged smooth-coated breed of hound,1,0,1,0
311,ONE,valiant,having or showing valor,1,0,1,0
312,ONE,flattery,excessive or insincere praise,1,0,1,0
313,ONE,lactose,a sugar comprising one glucose molecule linked to a galactose molecule; occurs only in milk,1,0,1,0
314,ONE,toughness,enduring strength and energy,1,0,1,0
315,ONE,recoup,"reimburse or compensate (someone), as for a loss",1,0,1,0
316,ONE,kidney,either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine,1,0,1,0
317,ONE,purse,a container used for carrying money and small personal items or accessories (especially by women),1,0,1,0
318,ONE,simmer,temperature just below the boiling point,1,0,1,0
319,ONE,domineering,rule or exercise power over (somebody) in a cruel and autocratic manner,1,0,1,0
320,ONE,tasteless,lacking flavor,1,0,1,0
321,ONE,bookworm,a person who pays more attention to formal rules and book learning than they merit,1,0,1,0
322,ONE,wistful,showing pensive sadness,1,0,1,0
323,ONE,raisin,dried grape,1,0,1,0
324,ONE,whisk,a mixer incorporating a coil of wires; used for whipping eggs or cream,1,0,1,0
325,ONE,onion,the bulb of an onion plant,1,0,1,0
326,ONE,astute,marked by practical hardheaded intelligence,1,0,1,0
327,ONE,veteran,a serviceman who has seen considerable active service,1,0,1,0
328,ONE,raven,large black bird with a straight bill and long wedge-shaped tail,1,0,1,0
329,ONE,trumpet,a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves,1,0,1,0
330,ONE,bathtub,a relatively large open container that you fill with water and use to wash the body,1,0,1,0
331,ONE,abandon,the trait of lacking restraint or control; reckless freedom from inhibition or worry,1,0,1,0
332,ONE,turtle,a sweater or jersey with a high close-fitting collar,1,0,1,0
333,ONE,erase,remove from memory or existence,1,0,1,0
334,ONE,fructose,a simple sugar found in honey and in many ripe fruits,1,0,1,0
335,ONE,bias,a partiality that prevents objective consideration of an issue or situation,1,0,1,0
336,ONE,fantastically,exceedingly; extremely,1,0,1,0
337,ONE,vault,a burial chamber (usually underground),1,0,0,0
338,ONE,Pinkerton,Undefined,1,0,1,0
339,ONE,handcuffs,shackle that consists of a metal loop that can be locked around the wrist; usually used in pairs,1,0,1,0
340,ONE,Amazon,a large strong and aggressive woman,1,0,1,0
341,ONE,lettuce,informal terms for money,1,0,1,0
342,ONE,failure,an act that fails,1,0,1,0
343,ONE,junior,term of address for a disrespectful and annoying male,1,0,1,0
344,ONE,fortune,an unknown and unpredictable phenomenon that causes an event to result one way rather than another,1,0,1,0
345,ONE,spinal,anesthesia of the lower half of the body; caused by injury to the spinal cord or by injecting an anesthetic beneath the arachnoid membrane that surrounds the spinal cord,1,0,1,0
346,ONE,companion,a friend who is frequently in the company of another,1,0,1,0
347,ONE,shamrock,creeping European clover having white to pink flowers and bright green leaves; naturalized in United States; widely grown for forage,1,0,1,0
348,ONE,tolerable,capable of being borne or endured,1,0,1,0
349,ONE,hamlet,a community of people smaller than a village,1,0,1,0
350,ONE,sluggard,an idle slothful person,1,0,1,0
351,ONE,demolition,an event (or the result of an event) that completely destroys something,1,0,1,0
352,ONE,panorama,the visual percept of a region,1,0,1,0
353,ONE,Americana,any artifact (such as books or furniture or art) that is distinctive of America,1,0,1,0
354,ONE,mosquito,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals,1,0,1,0
355,ONE,jubilant,joyful and proud especially because of triumph or success,1,0,1,0
356,ONE,thawed,become or cause to become soft or liquid,1,0,1,0
357,ONE,mince,food chopped into small bits,1,0,1,0
358,ONE,puzzles,a particularly baffling problem that is said to have a correct solution,1,0,1,0
359,ONE,lounge,an upholstered seat for more than one person,1,0,1,0
360,ONE,gnash,"grind together, of teeth",1,0,1,0
361,ONE,calzone,Undefined,1,0,1,0
362,ONE,uncle,the brother of your father or mother; the husband of your aunt,1,0,1,0
363,ONE,bubbly,a white sparkling wine either produced in Champagne or resembling that produced there,1,0,1,0
364,ONE,scumble,the application of very thin coat of color over the surface of a picture,1,0,1,0
365,ONE,supper,a light evening meal; served in early evening if dinner is at midday or served late in the evening at bedtime,1,0,1,0
366,ONE,knuckle,a joint of a finger when the fist is closed,1,0,1,0
367,ONE,bawl,shout loudly and without restraint,1,0,1,0
368,ONE,dawdle,take one's time; proceed slowly,1,0,1,0
369,ONE,graham,United States evangelical preacher famous as a mass evangelist (born in 1918),1,0,1,0
370,ONE,extinct,no longer in existence; lost or especially having died out leaving no living representatives,1,0,1,0
371,ONE,explosive,a chemical substance that undergoes a rapid chemical change (with the production of gas) on being heated or struck,1,0,1,0
372,ONE,bribery,the practice of offering something (usually money) in order to gain an illicit advantage,1,0,1,0
373,ONE,circle,ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point,1,0,1,0
374,ONE,mogul,a bump on a ski slope,1,0,1,0
375,ONE,headlong,excessively quick,1,0,1,0
376,ONE,jersey,a Mid-Atlantic state on the Atlantic; one of the original 13 colonies,1,0,1,0
377,ONE,cajole,"influence or urge by gentle urging, caressing, or flattering",1,0,1,0
378,ONE,glucose,a monosaccharide sugar that has several forms; an important source of physiological energy,1,0,1,0
379,ONE,respect,(usually preceded by `in') a detail or point,1,0,1,0
380,ONE,troll,(Scandanavian folklore) a supernatural creature (either a dwarf or a giant) that is supposed to live in caves or in the mountains,1,0,1,0
381,ONE,timber,the wood of trees cut and prepared for use as building material,1,0,1,0
382,ONE,trapezoid,a quadrilateral with two parallel sides,1,0,1,0
383,ONE,bauble,a mock scepter carried by a court jester,1,0,1,0
384,ONE,mower,garden tool for mowing grass on lawns,1,0,1,0
385,ONE,introverted,fold inwards,1,0,1,0
386,ONE,kindred,group of people related by blood or marriage,1,0,1,0
387,ONE,medallion,any of various large ancient Greek coins,1,0,1,0
